,Release Date,Actual,Forecast
0,2024-11-13,,3.3%
1,2024-10-10,3.3%,3.2%
2,2024-09-11,3.2%,3.2%
3,2024-08-14,3.2%,3.2%
4,2024-07-11,3.3%,3.4%
5,2024-06-12,3.4%,3.5%
6,2024-05-15,3.6%,3.6%
7,2024-04-10,3.8%,3.7%
8,2024-03-12,3.8%,3.7%
9,2024-02-13,3.9%,3.7%
10,2024-01-11,3.9%,3.8%
11,2023-12-12,4.0%,4.0%
12,2023-11-14,4.0%,4.1%
13,2023-10-12,4.1%,4.1%
14,2023-09-13,4.3%,4.3%
15,2023-08-10,4.7%,4.8%
16,2023-07-12,4.8%,5.0%
17,2023-06-13,5.3%,5.3%
18,2023-05-10,5.5%,5.5%
19,2023-04-12,5.6%,5.6%
20,2023-03-14,5.5%,5.5%
21,2023-02-14,5.6%,5.5%
22,2023-01-12,5.7%,5.7%
23,2022-12-13,6.0%,6.1%
24,2022-11-10,6.3%,6.5%
25,2022-10-13,6.6%,6.5%
26,2022-09-13,6.3%,6.1%
27,2022-08-10,5.9%,6.1%
28,2022-07-13,5.9%,5.7%
29,2022-06-10,6.0%,5.9%
30,2022-05-11,6.2%,6.0%
31,2022-04-12,6.5%,6.6%
32,2022-03-10,6.4%,5.9%
33,2022-02-10,6.0%,5.9%
34,2022-01-12,5.5%,5.4%
35,2021-12-10,4.9%,4.9%
36,2021-11-10,4.6%,4.3%
37,2021-10-13,4.0%,4.0%
38,2021-09-14,4.0%,4.2%
39,2021-08-11,4.3%,4.3%
40,2021-07-13,4.5%,4.0%
41,2021-06-10,3.8%,3.4%
42,2021-05-12,3.0%,2.3%
43,2021-04-13,1.6%,1.5%
44,2021-03-10,1.3%,1.4%
45,2021-02-10,1.4%,1.5%
46,2021-01-13,1.6%,1.6%
47,2020-12-10,1.6%,1.6%
48,2020-11-12,1.6%,1.8%
49,2020-10-13,1.7%,1.8%
50,2020-09-11,1.7%,1.6%
51,2020-08-12,1.6%,1.1%
52,2020-07-14,1.2%,1.1%
53,2020-06-10,1.2%,1.3%
54,2020-05-12,1.4%,1.7%
55,2020-04-10,2.1%,2.3%
56,2020-03-11,2.4%,2.3%
57,2020-02-13,2.3%,2.2%
58,2020-01-14,2.3%,2.3%
59,2019-12-11,2.3%,2.3%
60,2019-11-13,2.3%,2.4%
61,2019-10-10,2.4%,2.4%
62,2019-09-12,2.4%,2.3%
63,2019-08-13,2.2%,2.1%
64,2019-07-11,2.1%,2.0%
65,2019-06-12,2.0%,2.1%
66,2019-05-10,2.1%,2.1%
67,2019-04-10,2.0%,2.1%
68,2019-03-12,2.1%,2.2%
69,2019-02-13,2.2%,2.1%
70,2019-01-11,2.2%,2.2%
71,2018-12-12,2.2%,2.2%
72,2018-11-14,2.1%,2.2%
73,2018-10-11,2.2%,2.3%
74,2018-09-13,2.2%,2.4%
75,2018-08-10,2.4%,2.3%
76,2018-07-12,2.3%,2.3%
77,2018-06-12,2.2%,2.2%
78,2018-05-10,2.1%,2.2%
79,2018-04-11,2.1%,2.1%
80,2018-03-13,1.8%,1.8%
81,2018-02-14,1.8%,1.7%
82,2018-01-12,1.8%,1.7%
83,2017-12-13,1.7%,1.8%
84,2017-11-15,1.8%,1.7%
85,2017-10-13,1.7%,1.8%
86,2017-09-14,1.7%,1.6%
87,2017-08-11,1.7%,1.7%
88,2017-07-14,1.7%,1.7%
89,2017-06-14,1.7%,1.9%
90,2017-05-12,1.9%,2.0%
91,2017-04-14,2.0%,2.3%
92,2017-03-15,2.2%,2.2%
93,2017-02-15,2.3%,2.1%
94,2017-01-18,2.2%,2.2%
95,2016-12-15,2.1%,2.2%
96,2016-11-17,2.1%,2.2%
97,2016-10-18,2.2%,2.3%
98,2016-09-16,2.3%,2.2%
99,2016-08-16,2.2%,2.3%
100,2016-07-15,2.3%,2.3%
101,2016-06-16,2.2%,2.2%
102,2016-05-17,2.1%,2.1%
103,2016-04-14,2.2%,2.3%
104,2016-03-16,2.3%,2.2%
105,2016-02-19,2.2%,2.1%
106,2016-01-20,2.1%,2.1%
107,2015-12-15,2.0%,2.0%
108,2015-11-17,1.9%,1.9%
109,2015-10-15,1.9%,1.8%
110,2015-09-16,1.8%,1.9%
111,2015-08-19,1.8%,1.8%
112,2015-07-17,1.8%,1.8%
113,2015-06-18,1.7%,1.8%
114,2015-05-22,1.8%,1.7%
115,2015-04-17,1.8%,1.7%
116,2015-03-24,1.7%,1.6%
117,2015-02-26,1.6%,1.6%
118,2015-01-16,1.6%,1.7%
119,2014-12-17,1.7%,1.8%
120,2014-11-20,1.8%,1.8%
121,2014-10-22,1.7%,1.7%
122,2014-09-17,1.7%,1.9%
123,2014-08-19,1.9%,1.9%
124,2014-07-22,1.9%,2.0%
125,2014-06-17,2.0%,1.9%
126,2014-05-15,1.8%,1.7%
127,2014-04-15,1.7%,1.6%
128,2014-03-18,1.6%,1.6%
129,2014-02-20,1.6%,1.6%
130,2014-01-16,1.7%,1.7%
131,2013-12-17,1.7%,1.7%
132,2013-11-20,1.7%,1.7%
133,2013-10-30,1.7%,1.8%
134,2013-09-17,1.8%,1.8%
135,2013-08-15,1.7%,1.7%
136,2013-07-16,1.6%,1.6%
137,2013-06-18,1.7%,1.7%
138,2013-05-16,1.7%,1.8%
139,2013-04-16,1.9%,2.0%
140,2013-03-15,2.0%,2.0%
141,2013-02-21,1.9%,1.8%
142,2013-01-16,1.9%,1.9%
143,2012-12-14,1.9%,2.0%
144,2012-11-15,2.0%,2.0%
145,2012-10-16,2.0%,2.0%
146,2012-09-14,1.9%,2.0%
147,2012-08-15,2.1%,2.2%
148,2012-07-17,2.2%,2.2%
149,2012-06-14,2.3%,2.2%
150,2012-05-15,2.3%,2.3%
151,2012-04-13,2.3%,
152,2012-03-16,2.2%,
153,2012-02-17,2.3%,
154,2012-01-19,2.2%,
155,2011-12-16,2.2%,
156,2011-11-16,2.1%,
157,2011-10-19,2.0%,
158,2011-09-15,2.0%,
159,2011-08-18,1.8%,
160,2011-07-15,1.6%,
161,2011-06-15,1.5%,
162,2011-05-13,1.3%,
163,2011-04-15,1.2%,
164,2011-03-17,1.1%,
165,2011-02-17,1.0%,
166,2011-01-14,0.8%,
167,2010-12-15,0.8%,
168,2010-11-17,0.6%,
169,2010-10-15,0.8%,
170,2010-09-17,0.9%,
171,2010-08-13,0.9%,
172,2010-07-16,0.9%,
173,2010-06-17,0.9%,
174,2010-05-19,0.9%,
175,2010-04-14,1.1%,
176,2010-03-18,1.3%,
177,2010-02-19,1.6%,
178,2010-01-15,1.8%,
179,2009-12-16,1.7%,
180,2009-11-18,1.7%,
181,2009-10-15,1.5%,
182,2009-09-16,1.4%,
183,2009-08-14,1.5%,
184,2009-07-15,1.7%,
185,2009-06-17,1.8%,
186,2009-05-15,1.9%,
187,2009-04-15,1.8%,
188,2009-03-18,1.8%,
189,2009-02-20,1.7%,
190,2009-01-16,1.8%,
191,2008-12-16,2.0%,
192,2008-11-19,2.2%,
193,2008-10-16,2.5%,
194,2008-09-16,2.5%,
195,2008-08-14,2.5%,
196,2008-07-16,2.4%,
197,2008-06-13,2.3%,
198,2008-05-14,2.3%,
199,2008-04-16,2.4%,
200,2008-03-14,2.3%,
201,2008-02-20,2.5%,
202,2008-01-16,2.4%,
203,2007-12-14,2.3%,
204,2007-11-15,2.2%,
205,2007-10-17,2.1%,
206,2007-09-19,2.1%,
207,2007-08-15,2.2%,
208,2007-07-18,2.2%,
209,2007-06-15,2.2%,
210,2007-05-15,2.3%,
211,2007-04-17,2.5%,
212,2007-03-16,2.7%,
213,2007-02-21,2.7%,
214,2007-01-18,2.6%,
215,2006-12-15,2.6%,
216,2006-11-16,2.7%,
217,2006-10-18,2.9%,
218,2006-09-15,2.8%,
219,2006-08-16,2.7%,
220,2006-07-19,2.6%,
221,2006-06-14,2.4%,
222,2006-05-17,2.3%,
223,2006-04-19,2.1%,
224,2006-03-16,2.1%,
225,2006-02-22,2.1%,
226,2006-01-18,2.2%,
227,2005-12-15,2.1%,
228,2005-11-16,2.1%,
229,2005-10-14,2.0%,
230,2005-09-15,2.1%,
231,2005-08-16,2.1%,
232,2005-07-14,2.0%,
233,2005-06-15,2.2%,
234,2005-05-18,2.2%,
235,2005-04-20,2.3%,
236,2005-03-23,2.4%,
237,2005-02-23,2.3%,
238,2005-01-19,2.2%,
239,2004-12-01,2.20%,
240,2004-11-01,2.00%,
241,2004-10-01,2.00%,
242,2004-09-01,1.70%,
243,2004-08-01,1.80%,
244,2004-07-01,1.90%,
245,2004-06-01,1.70%,
246,2004-05-01,1.80%,
247,2004-04-01,1.60%,
248,2004-03-01,1.20%,
249,2004-02-01,1.10%,
250,2004-01-01,1.10%,
251,2003-12-01,1.10%,
252,2003-11-01,1.30%,
253,2003-10-01,1.20%,
254,2003-09-01,1.30%,
255,2003-08-01,1.50%,
256,2003-07-01,1.50%,
257,2003-06-01,1.60%,
258,2003-05-01,1.50%,
259,2003-04-01,1.70%,
260,2003-03-01,1.70%,
261,2003-02-01,1.90%,
262,2003-01-01,1.90%,
263,2002-12-01,2.00%,
264,2002-11-01,2.20%,
265,2002-10-01,2.20%,
266,2002-09-01,2.40%,
267,2002-08-01,2.20%,
268,2002-07-01,2.30%,
269,2002-06-01,2.50%,
270,2002-05-01,2.50%,
271,2002-04-01,2.40%,
272,2002-03-01,2.60%,
273,2002-02-01,2.60%,
274,2002-01-01,2.70%,
275,2001-12-01,2.80%,
276,2001-11-01,2.60%,
277,2001-10-01,2.60%,
278,2001-09-01,2.70%,
279,2001-08-01,2.70%,
280,2001-07-01,2.70%,
281,2001-06-01,2.50%,
282,2001-05-01,2.60%,
283,2001-04-01,2.70%,
284,2001-03-01,2.70%,
285,2001-02-01,2.60%,
286,2001-01-01,2.60%,
287,2000-12-01,2.60%,
288,2000-11-01,2.50%,
289,2000-10-01,2.60%,
290,2000-09-01,2.60%,
291,2000-08-01,2.50%,
292,2000-07-01,2.50%,
293,2000-06-01,2.40%,
294,2000-05-01,2.30%,
295,2000-04-01,2.40%,
296,2000-03-01,2.20%,
297,2000-02-01,2.00%,
298,2000-01-01,1.90%,
299,1999-12-01,2.10%,
