,Release Date,Actual,Forecast
0,2024-11-13,,2.4%
1,2024-10-10,2.4%,2.3%
2,2024-09-11,2.5%,2.5%
3,2024-08-14,2.9%,3.0%
4,2024-07-11,3.0%,3.1%
5,2024-06-12,3.3%,3.4%
6,2024-05-15,3.4%,3.4%
7,2024-04-10,3.5%,3.4%
8,2024-03-12,3.2%,3.1%
9,2024-02-13,3.1%,2.9%
10,2024-01-11,3.4%,3.2%
11,2023-12-12,3.1%,3.1%
12,2023-11-14,3.2%,3.3%
13,2023-10-12,3.7%,3.6%
14,2023-09-13,3.7%,3.6%
15,2023-08-10,3.2%,3.3%
16,2023-07-12,3.0%,3.1%
17,2023-06-13,4.0%,4.1%
18,2023-05-10,4.9%,5.0%
19,2023-04-12,5.0%,5.2%
20,2023-03-14,6.0%,6.0%
21,2023-02-14,6.4%,6.2%
22,2023-01-12,6.5%,6.5%
23,2022-12-13,7.1%,7.3%
24,2022-11-10,7.7%,8.0%
25,2022-10-13,8.2%,8.1%
26,2022-09-13,8.3%,8.1%
27,2022-08-10,8.5%,8.7%
28,2022-07-13,9.1%,8.8%
29,2022-06-10,8.6%,8.3%
30,2022-05-11,8.3%,8.1%
31,2022-04-12,8.5%,8.4%
32,2022-03-10,7.9%,7.9%
33,2022-02-10,7.5%,7.3%
34,2022-01-12,7.0%,7.0%
35,2021-12-10,6.8%,6.8%
36,2021-11-10,6.2%,5.8%
37,2021-10-13,5.4%,5.3%
38,2021-09-14,5.3%,5.3%
39,2021-08-11,5.4%,5.3%
40,2021-07-13,5.4%,4.9%
41,2021-06-10,5.0%,4.7%
42,2021-05-12,4.2%,3.6%
43,2021-04-13,2.6%,2.5%
44,2021-03-10,1.7%,1.7%
45,2021-02-10,1.4%,1.5%
46,2021-01-13,1.4%,1.3%
47,2020-12-10,1.2%,1.1%
48,2020-11-12,1.2%,1.3%
49,2020-10-13,1.4%,1.4%
50,2020-09-11,1.3%,1.2%
51,2020-08-12,1.0%,0.8%
52,2020-07-14,0.6%,0.6%
53,2020-06-10,0.1%,0.2%
54,2020-05-12,0.3%,0.4%
55,2020-04-10,1.5%,1.6%
56,2020-03-11,2.3%,2.2%
57,2020-02-13,2.5%,2.4%
58,2020-01-14,2.3%,2.3%
59,2019-12-11,2.1%,2.0%
60,2019-11-13,1.8%,1.7%
