,Release Date,Actual,Forecast
0,"Nov 01, 2024  (Oct)",12K,106K
1,"Oct 04, 2024  (Sep)",254K,147K
2,"Sep 06, 2024  (Aug)",142K,164K
3,"Aug 02, 2024  (Jul)",114K,176K
4,"Jul 05, 2024  (Jun)",206K,191K
5,"Jun 07, 2024  (May)",272K,182K
6,"May 03, 2024  (Apr)",175K,238K
7,"Apr 05, 2024  (Mar)",303K,212K
8,"Mar 08, 2024  (Feb)",275K,198K
9,"Feb 02, 2024  (Jan)",353K,187K
10,"Jan 05, 2024  (Dec)",216K,170K
11,"Dec 08, 2023  (Nov)",199K,180K
12,"Nov 03, 2023  (Oct)",150K,180K
13,"Oct 06, 2023  (Sep)",336K,170K
14,"Sep 01, 2023  (Aug)",187K,170K
15,"Aug 04, 2023  (Jul)",187K,200K
16,"Jul 07, 2023  (Jun)",209K,225K
17,"Jun 02, 2023  (May)",339K,180K
18,"May 05, 2023  (Apr)",253K,180K
19,"Apr 07, 2023  (Mar)",236K,239K
20,"Mar 10, 2023  (Feb)",311K,205K
21,"Feb 03, 2023  (Jan)",517K,185K
22,"Jan 06, 2023  (Dec)",223K,200K
23,"Dec 02, 2022  (Nov)",263K,200K
24,"Nov 04, 2022  (Oct)",261K,200K
25,"Oct 07, 2022  (Sep)",263K,250K
26,"Sep 02, 2022  (Aug)",315K,300K
27,"Aug 05, 2022  (Jul)",528K,250K
28,"Jul 08, 2022  (Jun)",372K,268K
29,"Jun 03, 2022  (May)",390K,325K
30,"May 06, 2022  (Apr)",428K,391K
31,"Apr 01, 2022  (Mar)",431K,490K
32,"Mar 04, 2022  (Feb)",678K,400K
33,"Feb 04, 2022  (Jan)",467K,150K
34,"Jan 07, 2022  (Dec)",199K,400K
35,"Dec 03, 2021  (Nov)",210K,550K
36,"Nov 05, 2021  (Oct)",531K,450K
37,"Oct 08, 2021  (Sep)",194K,500K
38,"Sep 03, 2021  (Aug)",235K,750K
39,"Aug 06, 2021  (Jul)",943K,870K
40,"Jul 02, 2021  (Jun)",850K,700K
41,"Jun 04, 2021  (May)",559K,650K
42,"May 07, 2021  (Apr)",266K,978K
43,"Apr 02, 2021  (Mar)",916K,647K
44,"Mar 05, 2021  (Feb)",379K,182K
45,"Feb 05, 2021  (Jan)",49K,50K
46,"Jan 08, 2021  (Dec)",-140K,71K
47,"Dec 04, 2020  (Nov)",245K,469K
48,"Nov 06, 2020  (Oct)",638K,600K
49,"Oct 02, 2020  (Sep)",661K,850K
50,"Sep 04, 2020  (Aug)","1,371K","1,400K"
51,"Aug 07, 2020  (Jul)","1,763K","1,600K"
52,"Jul 02, 2020  (Jun)","4,800K","3,000K"
53,"Jun 05, 2020  (May)","2,509K","-8,000K"
54,"May 08, 2020  (Apr)","-20,537K","-22,000K"
55,"Apr 03, 2020  (Mar)",-701K,-100K
56,"Mar 06, 2020  (Feb)",273K,175K
57,"Feb 07, 2020  (Jan)",225K,160K
58,"Jan 10, 2020  (Dec)",145K,164K
59,"Dec 06, 2019  (Nov)",266K,186K
60,"Nov 01, 2019  (Oct)",128K,89K
61,"Oct 04, 2019  (Sep)",136K,140K
62,"Sep 06, 2019  (Aug)",130K,160K
63,"Aug 02, 2019  (Jul)",164K,164K
64,"Jul 05, 2019  (Jun)",224K,160K
65,"Jun 07, 2019  (May)",75K,185K
66,"May 03, 2019  (Apr)",263K,181K
67,"Apr 05, 2019  (Mar)",196K,175K
68,"Mar 08, 2019  (Feb)",20K,181K
69,"Feb 01, 2019  (Jan)",304K,165K
70,"Jan 04, 2019  (Dec)",312K,178K
71,"Dec 07, 2018  (Nov)",155K,200K
72,"Nov 02, 2018  (Oct)",250K,193K
73,"Oct 05, 2018  (Sep)",134K,185K
74,"Sep 07, 2018  (Aug)",201K,191K
75,"Aug 03, 2018  (Jul)",157K,193K
76,"Jul 06, 2018  (Jun)",213K,200K
77,"Jun 01, 2018  (May)",223K,189K
78,"May 04, 2018  (Apr)",164K,189K
79,"Apr 06, 2018  (Mar)",103K,193K
80,"Mar 09, 2018  (Feb)",313K,200K
81,"Feb 02, 2018  (Jan)",200K,184K
82,"Jan 05, 2018  (Dec)",148K,190K
83,"Dec 08, 2017  (Nov)",228K,200K
84,"Nov 03, 2017  (Oct)",261K,310K
85,"Oct 06, 2017  (Sep)",-33K,90K
86,"Sep 01, 2017  (Aug)",156K,180K
87,"Aug 04, 2017  (Jul)",209K,183K
88,"Jul 07, 2017  (Jun)",222K,179K
89,"Jun 02, 2017  (May)",138K,185K
90,"May 05, 2017  (Apr)",211K,185K
91,"Apr 07, 2017  (Mar)",98K,180K
92,"Mar 10, 2017  (Feb)",235K,200K
93,"Feb 03, 2017  (Jan)",227K,175K
94,"Jan 06, 2017  (Dec)",156K,178K
95,"Dec 02, 2016  (Nov)",178K,175K
96,"Nov 04, 2016  (Oct)",161K,175K
97,"Oct 07, 2016  (Sep)",156K,175K
98,"Sep 02, 2016  (Aug)",151K,180K
99,"Aug 05, 2016  (Jul)",255K,180K
100,"Jul 08, 2016  (Jun)",287K,175K
101,"Jun 03, 2016  (May)",38K,164K
102,"May 06, 2016  (Apr)",160K,202K
103,"Apr 01, 2016  (Mar)",215K,205K
104,"Mar 04, 2016  (Feb)",242K,190K
105,"Feb 05, 2016  (Jan)",151K,190K
106,"Jan 08, 2016  (Dec)",292K,200K
107,"Dec 04, 2015  (Nov)",211K,200K
108,"Nov 06, 2015  (Oct)",271K,180K
109,"Oct 02, 2015  (Sep)",142K,203K
110,"Sep 04, 2015  (Aug)",173K,220K
111,"Aug 07, 2015  (Jul)",215K,223K
112,"Jul 02, 2015  (Jun)",223K,230K
113,"Jun 05, 2015  (May)",280K,225K
114,"May 08, 2015  (Apr)",223K,224K
115,"Apr 03, 2015  (Mar)",126K,245K
116,"Mar 06, 2015  (Feb)",295K,240K
117,"Feb 06, 2015  (Jan)",257K,234K
118,"Jan 09, 2015  (Dec)",252K,240K
119,"Dec 05, 2014  (Nov)",321K,225K
120,"Nov 07, 2014  (Oct)",214K,231K
121,"Oct 03, 2014  (Sep)",248K,215K
122,"Sep 05, 2014",142K,225K
123,"Aug 01, 2014",209K,233K
124,"Jul 03, 2014",288K,212K
125,"Jun 06, 2014",217K,218K
126,"May 02, 2014",288K,210K
127,"Apr 04, 2014",192K,200K
128,"Mar 07, 2014",175K,149K
129,"Feb 07, 2014",113K,185K
130,"Jan 10, 2014",74K,196K
131,"Dec 06, 2013",203K,180K
132,"Nov 08, 2013",204K,125K
133,"Oct 22, 2013",148K,180K
134,"Sep 06, 2013",169K,180K
135,"Aug 02, 2013",162K,184K
136,"Jul 05, 2013",195K,165K
137,"Jun 07, 2013",175K,170K
138,"May 03, 2013",165K,145K
139,"Apr 05, 2013",88K,200K
140,"Mar 08, 2013",236K,160K
141,"Feb 01, 2013",157K,160K
142,"Jan 04, 2013",155K,150K
143,"Dec 07, 2012",146K,93K
144,"Nov 02, 2012",171K,125K
145,"Oct 05, 2012",114K,113K
146,"Sep 07, 2012",96K,125K
147,"Aug 03, 2012",163K,100K
148,"Jul 06, 2012",80K,90K
149,"Jun 01, 2012",69K,150K
150,"May 04, 2012",115K,170K
151,"Apr 06, 2012",120K,203K
152,"Mar 09, 2012",227K,210K
153,"Feb 03, 2012",243K,150K
154,"Jan 06, 2012",200K,150K
155,"Dec 02, 2011",120K,120K
156,"Nov 04, 2011",80K,95K
157,"Oct 07, 2011",103K,53K
158,"Sep 02, 2011",0K,74K
159,"Aug 05, 2011",117K,95K
160,"Jul 08, 2011",18K,89K
161,"Jun 03, 2011",54K,169K
162,"May 06, 2011",244K,185K
