Date,ActualPPI,ForecastPPI,SurprisePPI,ActualNFP,ForecastNFP,SurpriseNFP,ActualCPI,ForecastCPI,SurpriseCPI,IAU Close,SLV Close,CPER Close,ActualCoreCPI,ForecastCoreCPI,SurpriseCoreCPI
1/11/24,1.8,1.6,0.2,12000,106000,-94000,2.4,2.3,0.1,51.62,29.54,27.35,3.3,3.2,0.1
31/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.84,29.81,27.36,3.3,3.2,0.1
30/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,52.65,30.81,27.36,3.3,3.2,0.1
29/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,52.36,31.39,27.46,3.3,3.2,0.1
28/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.78,30.73,27.45,3.3,3.2,0.1
27/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.8,30.63,27.43,3.3,3.2,0.1
26/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.8,30.63,27.43,3.3,3.2,0.1
25/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.8,30.63,27.43,3.3,3.2,0.1
24/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.68,30.69,27.39,3.3,3.2,0.1
23/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.29,30.71,27.22,3.3,3.2,0.1
22/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.92,31.74,27.57,3.3,3.2,0.1
21/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.38,30.85,27.41,3.3,3.2,0.1
20/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.37,30.64,27.58,3.3,3.2,0.1
19/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.37,30.64,27.58,3.3,3.2,0.1
18/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,51.37,30.64,27.58,3.3,3.2,0.1
17/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,50.84,28.89,27.2,3.3,3.2,0.1
16/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,50.53,28.91,27.41,3.3,3.2,0.1
15/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,50.28,28.71,27.27,3.3,3.2,0.1
14/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,50.1,28.54,27.66,3.3,3.2,0.1
13/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,50.16,28.8,28.17,3.3,3.2,0.1
12/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,50.16,28.8,28.17,3.3,3.2,0.1
11/10/24,1.8,1.6,0.2,254000,147000,107000,2.4,2.3,0.1,50.16,28.8,28.17,3.3,3.2,0.1
10/10/24,1.7,1.8,-0.1,254000,147000,107000,2.4,2.3,0.1,49.65,28.38,27.85,3.3,3.2,0.1
9/10/24,1.7,1.8,-0.1,254000,147000,107000,2.5,2.5,0,49.27,27.86,27.64,3.2,3.2,0
8/10/24,1.7,1.8,-0.1,254000,147000,107000,2.5,2.5,0,49.54,28.01,28,3.2,3.2,0
7/10/24,1.7,1.8,-0.1,254000,147000,107000,2.5,2.5,0,49.92,28.93,28.52,3.2,3.2,0
6/10/24,1.7,1.8,-0.1,254000,147000,107000,2.5,2.5,0,50.08,29.36,28.59,3.2,3.2,0
5/10/24,1.7,1.8,-0.1,254000,147000,107000,2.5,2.5,0,50.08,29.36,28.59,3.2,3.2,0
4/10/24,1.7,1.8,-0.1,254000,147000,107000,2.5,2.5,0,50.08,29.36,28.59,3.2,3.2,0
3/10/24,1.7,1.8,-0.1,142000,164000,-22000,2.5,2.5,0,50.2,29.23,28.44,3.2,3.2,0
2/10/24,1.7,1.8,-0.1,142000,164000,-22000,2.5,2.5,0,50.22,29,29.14,3.2,3.2,0
1/10/24,1.7,1.8,-0.1,142000,164000,-22000,2.5,2.5,0,50.21,28.58,28.6,3.2,3.2,0
