,Date,Actual,Forecast,Surprise
5066,2024-11-14,1.8,2.3,-0.4999999999999998
5065,2024-11-13,1.8,1.6,0.19999999999999996
5064,2024-11-12,1.8,1.6,0.19999999999999996
5063,2024-11-11,1.8,1.6,0.19999999999999996
5062,2024-11-10,1.8,1.6,0.19999999999999996
5061,2024-11-09,1.8,1.6,0.19999999999999996
5060,2024-11-08,1.8,1.6,0.19999999999999996
5059,2024-11-07,1.8,1.6,0.19999999999999996
5058,2024-11-06,1.8,1.6,0.19999999999999996
5057,2024-11-05,1.8,1.6,0.19999999999999996
5056,2024-11-04,1.8,1.6,0.19999999999999996
5055,2024-11-03,1.8,1.6,0.19999999999999996
5054,2024-11-02,1.8,1.6,0.19999999999999996
5053,2024-11-01,1.8,1.6,0.19999999999999996
5052,2024-10-31,1.8,1.6,0.19999999999999996
5051,2024-10-30,1.8,1.6,0.19999999999999996
5050,2024-10-29,1.8,1.6,0.19999999999999996
5049,2024-10-28,1.8,1.6,0.19999999999999996
5048,2024-10-27,1.8,1.6,0.19999999999999996
5047,2024-10-26,1.8,1.6,0.19999999999999996
5046,2024-10-25,1.8,1.6,0.19999999999999996
5045,2024-10-24,1.8,1.6,0.19999999999999996
5044,2024-10-23,1.8,1.6,0.19999999999999996
5043,2024-10-22,1.8,1.6,0.19999999999999996
5042,2024-10-21,1.8,1.6,0.19999999999999996
5041,2024-10-20,1.8,1.6,0.19999999999999996
5040,2024-10-19,1.8,1.6,0.19999999999999996
5039,2024-10-18,1.8,1.6,0.19999999999999996
5038,2024-10-17,1.8,1.6,0.19999999999999996
5037,2024-10-16,1.8,1.6,0.19999999999999996
5036,2024-10-15,1.8,1.6,0.19999999999999996
5035,2024-10-14,1.8,1.6,0.19999999999999996
5034,2024-10-13,1.8,1.6,0.19999999999999996
5033,2024-10-12,1.8,1.6,0.19999999999999996
5032,2024-10-11,1.8,1.6,0.19999999999999996
5031,2024-10-10,1.7,1.8,-0.10000000000000009
5030,2024-10-09,1.7,1.8,-0.10000000000000009
5029,2024-10-08,1.7,1.8,-0.10000000000000009
5028,2024-10-07,1.7,1.8,-0.10000000000000009
5027,2024-10-06,1.7,1.8,-0.10000000000000009
5026,2024-10-05,1.7,1.8,-0.10000000000000009
5025,2024-10-04,1.7,1.8,-0.10000000000000009
5024,2024-10-03,1.7,1.8,-0.10000000000000009
5023,2024-10-02,1.7,1.8,-0.10000000000000009
5022,2024-10-01,1.7,1.8,-0.10000000000000009
5021,2024-09-30,1.7,1.8,-0.10000000000000009
5020,2024-09-29,1.7,1.8,-0.10000000000000009
5019,2024-09-28,1.7,1.8,-0.10000000000000009
5018,2024-09-27,1.7,1.8,-0.10000000000000009
